,Player,Event,X,Y,Distance,Slope,Type,Detail,Period,Home Team Skaters,Away Team Skaters,Result,Predicted Result,xG%
0,McKenna Brand,Shot,131,28,70.50709184188496,0.21329396061503048,Snapshot,On Net,1,5,5,0,0,0.18066035
1,Allie Thunstrom,Shot,162,2,55.536024344563955,1.8089021306920214,Snapshot,On Net,1,5,5,0,0,0.006061988
2,Nina Rodgers,Shot,167,18,41.100486615124154,0.9175448161061228,Snapshot,Missed,1,5,5,0,0,0.00086310395
3,McKenna Brand,Shot,175,68,35.71064267133819,-1.6281304122125526,Snapshot,On Net,1,5,5,0,0,0.06496443
4,Lauren Kelly,Shot,196,20,22.85278976405288,-0.7732012463758735,Snapshot,On Net,1,5,5,0,0,0.39473566
5,Haylea Schmid,Shot,181,43,19.00657780874821,-0.026321865900556317,Snapshot,On Net,1,5,5,0,1,0.6662469
6,Lauren Kelly,Shot,163,10,49.24682730897494,1.2056774181378085,Snapshot,On Net,1,5,5,0,0,0.0063997693
7,Samantha Davis,Shot,188,49,13.647344063956181,-0.601697417355872,Wrap Around,On Net,1,5,5,0,0,0.10749073
8,Jillian Dempsey,Shot,149,19,56.15380663855301,0.49642598786474845,Snapshot,On Net,1,5,5,0,0,0.14399981
9,Jonna Curtis,Shot,167,67,41.100486615124154,-0.9175448161061228,Snapshot,On Net,1,5,5,0,0,0.14723304
10,Meaghan Pezon,Shot,153,62,50.884673527497455,-0.4404616943602065,Snapshot,Missed,1,5,5,0,0,0.002953395
11,Lynn Astrup,Shot,164,23,40.94203219186854,0.601697417355872,Snapshot,Missed,1,5,5,0,0,0.0014559764
12,Lexie Laing,Shot,162,28,40.67247226319049,0.4012447159924755,Snapshot,Missed,1,5,5,0,0,0.001527088
13,Carlee Turner,Shot,143,17,62.44397488949594,0.4798135413924608,Wristshot,On Net,1,5,5,0,0,0.15023243
14,Jenna Rheault,Shot,139,53,61.897092015699734,-0.17385157246168695,Slapshot,Missed,1,5,5,0,0,0.001391391
15,Christina Putigna,Shot,166,32,35.58440669731617,0.31903080525392447,Snapshot,On Net,1,4,5,0,0,0.19345255
16,Kaleigh Fratkin,Shot,135,36,65.32419153728578,0.10033467208545055,Slapshot,On Net,1,4,5,0,0,0.016148532
17,Lexie Laing,Shot,184,50,17.67059704707229,-0.5063943574962299,Snapshot,On Net,1,5,5,0,1,0.75167257
18,Taylor Wenczkowski,Shot,188,38,12.816005617976296,0.39362657592563277,Snapshot,On Net,1,5,5,0,1,0.5684007
19,Lauren Kelly,Shot,150,15,57.063561052566634,0.6131052132881357,Snapshot,On Net,1,4,5,0,0,0.02732879
20,Christina Putigna,Goal,175,44,25.04495957273639,-0.06007210383129728,Snapshot,On Net,1,5,5,1,1,0.8113281
21,Mallory Souliotis,Shot,145,44,55.02045074333724,-0.027279491118326327,Fan,Missed,1,5,5,0,0,0.0010368683
22,Samantha Davis,Shot,164,44,36.03123644839294,-0.04169079607766161,Fan,Missed,1,5,5,0,0,0.0022736
23,Samantha Davis,Shot,186,23,24.005207768315607,5.560459001248526,Snapshot,On Net,1,5,5,0,0,0.08012394
24,Audra Richards,Shot,173,66,35.79455265819088,-1.1862159904538376,Snapshot,On Net,1,5,5,0,0,0.06917657
25,Jonna Curtis,Goal,180,39,20.303940504246953,0.17680861712858184,Snapshot,On Net,1,5,5,1,1,0.85058594
26,Maddie Rowe,Shot,15,68,186.7491633180722,-0.13871746274673313,Snapshot,Missed,1,4,5,0,0,0.0013665283
27,Taylor Turnquist,Shot,155,79,57.941781125540146,-1.0527950474842163,Snapshot,Missed,1,4,5,0,0,0.0026464134
28,McKenna Brand,Shot,147,45,53.05892950295925,-0.04720482662137084,Wristshot,On Net,1,4,5,0,1,0.6521365
29,Jonna Curtis,Shot,183,45,17.18284027743958,-0.14812818766413652,Snapshot,On Net,1,4,5,0,0,0.19381745
30,Audra Richards,Shot,183,40,17.18284027743958,0.14812818766413652,Snapshot,On Net,1,4,5,0,0,0.13679495
31,Mallory Souliotis,Shot,177,23,30.153772566629204,1.1333541529770035,Snapshot,On Net,1,4,5,0,0,0.08188915
32,Haley Mack,Shot,173,16,37.83186487605389,1.4957435899763547,Snapshot,On Net,2,5,5,0,0,0.022037974
33,Allie Thunstrom,Shot,170,60,34.73110997362451,-0.6599430459842429,Wristshot,Missed,2,5,5,0,0,0.001568091
34,Emma Stauber,Shot,138,3,73.51360418317142,0.7400409269558065,Wristshot,Missed,2,5,5,0,0,0.0011122942
35,Mary Parker,Shot,170,11,43.5,1.7433153099831704,Wristshot,On Net,2,5,5,0,0,0.0034867397
36,Meghara McManus,Shot,156,71,52.42375415782429,-0.7566244174910015,Wristshot,On Net,2,5,5,0,0,0.07138046
37,Meghan Lorence,Shot,176,46,24.253865671269807,-0.14687603448729775,Deflection,On Net,2,5,5,0,0,0.15796787
38,Mallory Souliotis,Shot,139,26,63.19216723613774,0.27728768097757117,Wristshot,Missed,2,4,5,0,0,0.0018496582
39,Taylor Wenczkowski,Shot,169,43,31.00403199585499,-0.01613043103631582,Deflection,Missed,2,4,5,0,0,0.0041160993
40,Samantha Davis,Shot,185,47,15.660459763365825,-0.30933624960962325,Wristshot,On Net,2,4,5,0,0,0.080480784
41,McKenna Brand,Shot,180,62,27.932955446926844,-1.4749625944173261,Wristshot,On Net,2,4,5,0,0,0.030620972
42,Christina Putigna,Shot,157,48,43.35031718453742,-0.1286090995295932,Wristshot,On Net,2,4,5,0,0,0.13015762
43,Jillian Dempsey,Shot,183,60,24.397745797511703,-1.6630267310496172,Snapshot,On Net,2,4,5,0,0,0.012756443
44,Haylea Schmid,Shot,139,55,62.26756780218736,-0.20783530782701126,Wristshot,On Net,2,5,5,0,0,0.0823274
45,Jenna Rheault,Shot,176,77,42.0267771783657,-7.457597366497315,Wristshot,Missed,2,5,5,0,0,0.0006472563
46,Paige Capistran,Shot,128,21,75.14153312250157,0.30781511200330275,Wristshot,Missed,2,5,5,0,0,0.0013119502
