game_id,game_date,Home Team,Away Team,Period,Clock,Home Team Skaters,Away Team Skaters,Home Team Goals,Away Team Goals,Team,Player,Event,X Coordinate,Y Coordinate,Detail 1,Detail 2,Detail 3,Detail 4,Player 2,X Coordinate 2,Y Coordinate 2,Dump In/Out,Faceoff Win,Goal,Incomplete Play,Penalty Taken,Play,Puck Recovery,Shot,Takeaway,Zone Entry
1,2021-01-23,Minnesota Whitecaps,Boston Pride,1,20:00,5,5,0,0,Boston Pride,Jillian Dempsey,Faceoff Win,100,43,Backhand,,,,Stephanie Anderson,,,0,1,0,0,0,0,0,0,0,0
1,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:58,5,5,0,0,Boston Pride,McKenna Brand,Puck Recovery,107,40,,,,,,,,0,0,0,0,0,0,1,0,0,0
1,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:57,5,5,0,0,Boston Pride,McKenna Brand,Zone Entry,125,28,Carried,,,,Maddie Rowe,,,0,0,0,0,0,0,0,0,0,1
1,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:55,5,5,0,0,Boston Pride,McKenna Brand,Shot,131,28,Snapshot,On Net,t,f,,,,0,0,0,0,0,0,0,1,0,0
1,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:53,5,5,0,0,Boston Pride,Tereza Vanisova,Faceoff Win,169,21,Backhand,,,,Stephanie Anderson,,,0,1,0,0,0,0,0,0,0,0
1,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:52,5,5,0,0,Boston Pride,Samantha Davis,Puck Recovery,159,26,,,,,,,,0,0,0,0,0,0,1,0,0,0
1,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:50,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Puck Recovery,101,31,,,,,,,,0,0,0,0,0,0,1,0,0,0
1,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:48,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Zone Entry,125,6,Carried,,,,Kaleigh Fratkin,,,0,0,0,0,0,0,0,0,0,1
1,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:47,5,5,0,0,Minnesota Whitecaps,Stephanie Anderson,Play,157,0,Indirect,,,,Meghan Lorence,198.0,38.0,0,0,0,0,0,1,0,0,0,0
1,2021-01-23,Minnesota Whitecaps,Boston Pride,1,19:43,5,5,0,0,Minnesota Whitecaps,Meghan Lorence,Play,193,20,Direct,,,,Haley Mack,196.0,33.0,0,0,0,0,0,1,0,0,0,0
