game_id,game_date,Home Team,Away Team,Period,Clock,Home Team Skaters,Away Team Skaters,Home Team Goals,Away Team Goals,Team,Player,Event,X Coordinate,Y Coordinate,Detail 1,Detail 2,Detail 3,Detail 4,Player 2,X Coordinate 2,Y Coordinate 2,Detail Summary,Play Direct,Play Indirect,Puck Recovery,Shot Deflection,Shot Slapshot,Shot Snapshot,Takeaway,Zone Entry Carried,Zone Entry Played,Play Direct,Play Indirect,Puck Recovery,Shot Deflection,Shot Slapshot,Shot Snapshot,Takeaway,Zone Entry Carried,Zone Entry Played,Play Direct,Play Indirect,Puck Recovery,Shot Deflection,Shot Slapshot,Shot Snapshot,Takeaway,Zone Entry Carried,Zone Entry Played,Goal Event,Play Direct,Play Indirect,Puck Recovery,Shot Deflection,Shot Slapshot,Shot Snapshot,Takeaway,Zone Entry Carried,Zone Entry Played,Play Direct,Play Indirect,Puck Recovery,Shot Deflection,Shot Slapshot,Shot Snapshot,Takeaway,Zone Entry Carried,Zone Entry Played
1,2021-01-23,Minnesota Whitecaps,Boston Pride,1,6:42,5,5,0,0,Boston Pride,Christina Putigna,Puck Recovery,175,44,,,,,,,,Puck Recovery,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2021-01-23,Minnesota Whitecaps,Boston Pride,1,5:40,5,5,0,1,Minnesota Whitecaps,Jonna Curtis,Puck Recovery,180,39,,,,,,,,Puck Recovery,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1,2021-01-23,Minnesota Whitecaps,Boston Pride,2,8:02,5,5,1,1,Minnesota Whitecaps,Winny Brodt-Brown,Puck Recovery,188,55,,,,,,,,Puck Recovery,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2021-01-23,Buffalo Beauts,Connecticut Whale,2,15:55,5,5,0,0,Connecticut Whale,Kayla Friesen,Zone Entry,124,15,Carried,,,,Alyson Matteau,,,Zone Entry Carried,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
2,2021-01-23,Buffalo Beauts,Connecticut Whale,3,14:33,5,4,0,1,Buffalo Beauts,Alyson Matteau,Play,148,65,Direct,,,,Kristin Lewicki,165.0,20.0,Play Direct,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,2021-01-23,Metropolitan Riveters,Toronto Six,1,19:04,5,5,0,0,Metropolitan Riveters,Kelly Babstock,Play,192,68,Direct,,,,Leila Kilduff,136.0,83.0,Play Direct,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,2021-01-23,Metropolitan Riveters,Toronto Six,1,1:46,5,5,1,0,Metropolitan Riveters,Kelly Babstock,Play,185,8,Direct,,,,Leila Kilduff,142.0,45.0,Play Direct,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
3,2021-01-23,Metropolitan Riveters,Toronto Six,3,0:26,5,6,2,0,Metropolitan Riveters,Emily Janiga,Puck Recovery,110,15,,,,,,,,Puck Recovery,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
4,2021-01-24,Boston Pride,Buffalo Beauts,1,10:45,5,5,0,0,Boston Pride,McKenna Brand,Play,146,72,Indirect,,,,Jillian Dempsey,198.0,56.0,Play Indirect,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,2021-01-24,Boston Pride,Buffalo Beauts,1,8:13,5,5,1,0,Buffalo Beauts,Jordan Juron,Zone Entry,125,46,Carried,,,,Lauren Kelly,,,Zone Entry Carried,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
