Home Team,Team,Event,Dummy,goal_event,test
Minnesota Whitecaps,Boston Pride,Goal,0,0,0
Minnesota Whitecaps,Minnesota Whitecaps,Goal,1,1,1
Minnesota Whitecaps,Minnesota Whitecaps,Goal,0,1,0
Buffalo Beauts,Connecticut Whale,Goal,1,0,1
Buffalo Beauts,Buffalo Beauts,Goal,1,1,1
Metropolitan Riveters,Metropolitan Riveters,Goal,0,1,0
Metropolitan Riveters,Metropolitan Riveters,Goal,0,1,0
Metropolitan Riveters,Metropolitan Riveters,Goal,0,1,0
Boston Pride,Boston Pride,Goal,1,1,1
Boston Pride,Buffalo Beauts,Goal,0,0,0
Boston Pride,Boston Pride,Goal,0,1,0
Boston Pride,Boston Pride,Goal,1,1,1
Boston Pride,Boston Pride,Goal,0,1,0
Boston Pride,Boston Pride,Goal,1,1,1
Connecticut Whale,Metropolitan Riveters,Goal,0,0,0
Connecticut Whale,Metropolitan Riveters,Goal,0,0,0
Connecticut Whale,Connecticut Whale,Goal,1,1,1
Connecticut Whale,Connecticut Whale,Goal,1,1,1
Connecticut Whale,Metropolitan Riveters,Goal,1,0,1
Connecticut Whale,Connecticut Whale,Goal,1,1,1
Connecticut Whale,Metropolitan Riveters,Goal,1,0,1
Toronto Six,Toronto Six,Goal,1,1,1
Toronto Six,Toronto Six,Goal,1,1,1
Toronto Six,Toronto Six,Goal,0,1,0
Toronto Six,Minnesota Whitecaps,Goal,1,0,1
Toronto Six,Toronto Six,Goal,1,1,1
Toronto Six,Toronto Six,Goal,1,1,1
Toronto Six,Minnesota Whitecaps,Goal,0,0,0
Toronto Six,Minnesota Whitecaps,Goal,1,0,1
Toronto Six,Minnesota Whitecaps,Goal,1,0,1
Toronto Six,Minnesota Whitecaps,Goal,0,0,0
Toronto Six,Boston Pride,Goal,1,0,1
Toronto Six,Toronto Six,Goal,1,1,1
Toronto Six,Toronto Six,Goal,0,1,0
Metropolitan Riveters,Minnesota Whitecaps,Goal,0,0,0
Connecticut Whale,Boston Pride,Goal,0,0,0
Connecticut Whale,Connecticut Whale,Goal,1,1,1
Connecticut Whale,Connecticut Whale,Goal,0,1,0
Connecticut Whale,Connecticut Whale,Goal,0,1,0
Connecticut Whale,Connecticut Whale,Goal,1,1,1
Buffalo Beauts,Toronto Six,Goal,1,0,1
Buffalo Beauts,Buffalo Beauts,Goal,0,1,0
Buffalo Beauts,Buffalo Beauts,Goal,0,1,0
Buffalo Beauts,Toronto Six,Goal,1,0,1
Buffalo Beauts,Toronto Six,Goal,0,0,0
Buffalo Beauts,Toronto Six,Goal,0,0,0
Buffalo Beauts,Boston Pride,Goal,0,0,0
Buffalo Beauts,Buffalo Beauts,Goal,0,1,0
Buffalo Beauts,Buffalo Beauts,Goal,1,1,1
Toronto Six,Toronto Six,Goal,1,1,1
Toronto Six,Minnesota Whitecaps,Goal,1,0,1
Toronto Six,Toronto Six,Goal,1,1,1
Toronto Six,Minnesota Whitecaps,Goal,1,0,1
Toronto Six,Toronto Six,Goal,1,1,1
Toronto Six,Minnesota Whitecaps,Goal,1,0,1
Toronto Six,Toronto Six,Goal,1,1,1
Boston Pride,Boston Pride,Goal,1,1,1
Boston Pride,Boston Pride,Goal,1,1,1
Boston Pride,Boston Pride,Goal,1,1,1
Boston Pride,Boston Pride,Goal,1,1,1
Boston Pride,Boston Pride,Goal,0,1,0
Boston Pride,Boston Pride,Goal,1,1,1
Toronto Six,Toronto Six,Goal,0,1,0
Toronto Six,Toronto Six,Goal,0,1,0
Toronto Six,Toronto Six,Goal,1,1,1
Toronto Six,Toronto Six,Goal,1,1,1
Toronto Six,Toronto Six,Goal,0,1,0
Toronto Six,Toronto Six,Goal,0,1,0
Buffalo Beauts,Boston Pride,Goal,0,0,0
Buffalo Beauts,Boston Pride,Goal,0,0,0
Buffalo Beauts,Boston Pride,Goal,0,0,0
Buffalo Beauts,Buffalo Beauts,Goal,0,1,0
Buffalo Beauts,Boston Pride,Goal,1,0,1
Buffalo Beauts,Boston Pride,Goal,1,0,1
Buffalo Beauts,Boston Pride,Goal,0,0,0
Buffalo Beauts,Boston Pride,Goal,0,0,0
